alpha,CL,CD,CM
------,--------,---------,--------
-18,-1.7377,0.02609,-0.0298
-17,-1.7018,0.02174,-0.0243
-16,-1.6508,0.0191,-0.0175
-15,-1.5851,0.01687,-0.0116
-14,-1.5003,0.01521,-0.0084
-13,-1.4106,0.01361,-0.0056
-12,-1.3159,0.01228,-0.0033
-11,-1.2215,0.01114,-0.0006
-10,-1.1396,0.01026,0.0029
-9,-1.0041,0.00917,-0.0006
-8,-0.8823,0.00829,-0.0032
-7,-0.7738,0.00757,-0.0025
-6,-0.6673,0.00697,-0.0013
-5,-0.5582,0.00646,-0.0005
-4,-0.4479,0.00601,-0.0001
-3,-0.3368,0.00564,0.0001
-2,-0.2251,0.00534,0.0002
-1,-0.1127,0.00516,0.0001
0,0,0.0051,0
1,0.1128,0.00516,-0.0001
2,0.2252,0.00534,-0.0002
3,0.3369,0.00564,-0.0001
4,0.448,0.00602,0.0001
5,0.5583,0.00646,0.0005
6,0.6674,0.00697,0.0012
7,0.7739,0.00757,0.0025
8,0.8823,0.00829,0.0032
9,1.0042,0.00917,0.0006
10,1.1276,0.01015,-0.0026
11,1.2215,0.01114,0.0006
12,1.3161,0.01228,0.0033
13,1.4108,0.01361,0.0055
14,1.5005,0.01522,0.0083
15,1.5856,0.01687,0.0115
16,1.6516,0.01911,0.0174
17,1.7028,0.02174,0.0242
18,1.7389,0.02606,0.0297
19,1.7517,0.03375,0.0321
20,1.7486,0.04514,0.0299
21,1.6966,0.06476,0.0217
22,1.5551,0.10012,0.0038
23,1.3116,0.15871,-0.0323
24,1.1794,0.20501,-0.0668
25,1.1496,0.23087,-0.0873
